epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.80606,1.37168,4.9607,1.18319,0.098,0.29142,0.11998,0.07747,1.19871,2.97283,1.10408,8e-06,8e-06,0.092008
2,5.51285,1.14697,2.05376,1.07201,0.4431,0.51808,0.41213,0.28699,1.07816,2.6933,1.06954,1.68317e-05,1.68317e-05,0.0830168
3,7.90198,1.11841,1.46576,1.0695,0.47864,0.70484,0.61872,0.43753,1.07955,1.87329,1.04979,2.54852e-05,2.54852e-05,0.0740255
4,10.171,1.07342,1.14569,1.04683,0.56338,0.66373,0.71227,0.50623,1.0516,1.75114,1.02939,3.39605e-05,3.39605e-05,0.065034
5,12.2888,1.03669,0.99547,1.06296,0.72102,0.66843,0.82778,0.59831,1.00974,1.82894,1.01392,4.22576e-05,4.22576e-05,0.0560423
6,14.3287,1.03097,0.85894,1.02903,0.77128,0.83232,0.9397,0.67118,1.01008,1.30605,1.02427,5.03765e-05,5.03765e-05,0.0470504
7,16.3527,0.96879,0.77456,1.00562,0.8098,0.88637,0.96257,0.69822,0.97409,1.03582,1.00422,5.83172e-05,5.83172e-05,0.0380583
8,18.4944,0.99352,0.75768,1.03116,0.87427,0.91499,0.97296,0.721,0.93138,0.92018,0.98403,6.60797e-05,6.60797e-05,0.0290661
9,20.4722,0.97038,0.71,1.00345,0.9434,0.96113,0.98224,0.73484,0.91988,0.65312,0.97964,7.3664e-05,7.3664e-05,0.0200737
10,22.3996,0.96731,0.67529,0.99196,0.96786,0.97717,0.98638,0.72547,0.95065,0.56328,0.9928,8.10701e-05,8.10701e-05,0.0110811
11,24.3299,0.94472,0.64444,0.98711,0.97274,0.97741,0.98731,0.72603,0.95859,0.53993,0.99328,8.8298e-05,8.8298e-05,0.0020883
